Input string,Mapped name,Mapped code,Quarantine?
korea dem ppl s rep,North Korea,KP,
united rep of tanzania,Tanzania,TZ,
yugoslavia sfr former,Serbia and Montenegro (Former), CS,
yemen arab rep former,Yemen,YE,
venezuela bolivar rep,Venezuela,VE,
other asia,Asia,RAS,
neth antilles former,Serbia and Montenegro (Former), CS,
china hong kong sar,China,CN,
china macao sar,China,CN,
central african rep,Central African Republic,CF,
ussr former,Serbia and Montenegro (Former), CS,
lao people s dem rep,Rest of Europe,RoE,
ethiopia incl eritrea,Ethiopia,ET,
german dem r former,Serbia and Montenegro (Former), CS,
germany fed r former,Germany,DE,
iran islamic rep of,Iran,IR,
sudan former,Sudan,SD,
yemen dem former,Yemen,YE,
czechoslovakia former,Slovakia,SK,
dem rep of the congo,Congo,CG,
bonaire st eustatius saba,"Bonaire, Saint Eustatius and Saba",BQ,
bolivia plur state of,Bolivia,BO,
